R;M;L
38.731529;30.738886;50.193295
38.623882;30.651716;49.885674
38.567436;30.647104;49.765881
38.554394;30.696581;49.775364
38.548397;30.747841;49.821148
38.528240;30.767172;49.834030
38.506260;30.761036;49.811691
38.498386;30.754045;49.791199
38.502716;30.759420;49.794281
38.507328;30.769472;49.807590
38.505592;30.771700;49.808090
38.500191;30.766022;49.792671
38.495991;30.761318;49.778137
38.494759;30.763359;49.778835
38.495060;30.770403;49.790253
38.495403;30.775831;49.796944
38.496181;30.775084;49.792206
38.496834;30.770523;49.783558
38.495781;30.767208;49.780041
38.493874;30.767076;49.782578
38.493454;30.769638;49.787548
38.493919;30.774054;49.792019
38.493011;30.777775;49.793983
38.491928;30.778755;49.794102
38.494793;30.778505;49.795300
38.501228;30.777935;49.797504
38.505310;30.776423;49.797592
38.503582;30.776628;49.795689
38.498661;30.780373;49.795368
38.493893;30.784273;49.797775
38.490501;30.785950;49.800564
38.489494;30.787313;49.802849
38.492744;30.790228;49.806408
38.499485;30.793205;49.811356
38.504704;30.793695;49.815384
38.505348;30.792978;49.818150
38.504112;30.794163;49.821682
38.503258;30.796091;49.825764
38.503239;30.795872;49.828705
38.506111;30.795164;49.831852
38.511272;30.797974;49.838184
38.515785;30.804449;49.848289
38.518452;30.811594;49.859421
38.518536;30.817732;49.867699
38.516842;30.822596;49.872013
38.516376;30.825830;49.875351
38.518284;30.827600;49.880005
38.522240;30.829248;49.884605
38.527397;30.831284;49.887836
38.530888;30.832674;49.890511
38.530540;30.832226;49.892254
38.528618;30.830257;49.891914
38.528999;30.829241;49.891438
38.531670;30.831711;49.893089
38.533772;30.837460;49.895405
38.534908;30.844742;49.896717
38.535915;30.851027;49.897282
38.534855;30.852726;49.895672
38.531448;30.850342;49.890789
38.531086;30.849916;49.886551
38.537045;30.854218;49.886997
38.545864;30.860516;49.890526
38.553474;30.866871;49.894497
38.559624;30.873766;49.899815
38.566490;30.882292;49.908295
38.574875;30.892212;49.917889
38.582520;30.901434;49.923767
38.587692;30.908779;49.925236
38.592026;30.914211;49.925850
38.593941;30.915726;49.924763
38.588375;30.911018;49.918041
38.577763;30.902607;49.908039
38.570553;30.895910;49.900082
38.568130;30.891289;49.893066
38.566338;30.885431;49.883972
38.564983;30.879486;49.875725
38.565445;30.877497;49.873005
38.566772;30.878975;49.874710
38.566975;30.879381;49.875664
38.565277;30.876434;49.873272
38.563107;30.871897;49.869064
38.561474;30.867666;49.864887
38.558285;30.863688;49.861401
38.552944;30.860571;49.859947
38.549671;30.861044;49.862297
38.551548;30.865723;49.868065
38.555504;30.870674;49.874451
38.557732;30.872169;49.878273
38.558556;30.871260;49.879871
38.560654;30.872082;49.883133
38.564095;30.876415;49.889637
38.565838;30.880747;49.896057
38.564350;30.881273;49.899887
38.562759;30.879732;49.902115
38.563641;30.878889;49.903149
38.564705;30.876431;49.902073
38.563675;30.870218;49.898281
38.561420;30.864100;49.893269
38.557087;30.862318;49.889828
38.549175;30.862051;49.887634
38.541649;30.858765;49.883888
38.540440;30.855190;49.880070
38.545471;30.855560;49.879089
38.550655;30.856218;49.879219
38.550819;30.851248;49.876633
38.545399;30.842159;49.869953
38.537052;30.834667;49.861324
38.530197;30.830471;49.854404
38.528046;30.827923;49.850391
38.528118;30.826353;49.847225
38.526005;30.824377;49.842987
38.522747;30.820042;49.838596
38.520325;30.813847;49.834766
38.518314;30.808266;49.830513
38.517330;30.805470;49.826820
38.517754;30.806009;49.826214
38.519146;30.808884;49.829140
38.521542;30.811626;49.832558
38.522762;30.810400;49.831707
38.520512;30.804520;49.826233
38.516621;30.799585;49.822067
38.513802;30.799738;49.822495
38.511749;30.801958;49.823902
38.510513;30.802809;49.823669
38.513531;30.804440;49.824715
38.521889;30.809216;49.829575
38.530323;30.814901;49.835239
38.536095;30.820663;49.839401
38.542934;30.829737;49.845627
38.552811;30.842215;49.856636
38.563808;30.854134;49.868874
38.575336;30.864914;49.878971
38.589153;30.879105;49.890263
38.607254;30.901102;49.909214
38.629066;30.930439;49.937119
38.650032;30.959837;49.967121
38.664177;30.979691;49.989876
38.667156;30.984989;50.000595
38.658947;30.976158;49.998970
38.644459;30.957623;49.987041
38.630810;30.937273;49.970924
38.620880;30.919903;49.956032
38.610916;30.902239;49.940632
38.596012;30.879545;49.919914
38.573742;30.851040;49.891273
38.545219;30.818357;49.856075
38.516956;30.786356;49.821877
38.496174;30.762268;49.796982
38.484711;30.748751;49.781776
38.478333;30.741703;49.771187
38.472378;30.736521;49.762695
38.467690;30.733250;49.758133
38.467010;30.733454;49.759197
38.468964;30.734648;49.762772
38.469898;30.732054;49.762230
38.468155;30.724707;49.754639
38.465294;30.716812;49.745975
38.464832;30.715633;49.747555
38.469116;30.724628;49.762737
38.475761;30.736769;49.778339
38.481728;30.745222;49.780704
38.489849;30.755453;49.774803
38.498779;30.773699;49.769753
38.495567;30.797028;49.760590
38.477688;30.826002;49.750324
38.471878;30.875692;49.778786
38.512444;30.964334;49.910519
38.611794;31.091734;50.191010
38.761189;31.235598;50.613712
38.941696;31.370117;51.115810
39.109936;31.464382;51.567661
39.191139;31.460907;51.783260
39.140690;31.318693;51.638493
39.002510;31.088840;51.196053
38.852966;30.872066;50.651730
38.725330;30.721222;50.185524
38.630833;30.647108;49.893810
38.582527;30.650570;49.787197
38.567539;30.700851;49.798538
38.552422;30.744358;49.831001
38.525757;30.756388;49.830997
38.503101;30.752811;49.809151
38.496971;30.753397;49.796627
38.501640;30.759159;49.801609
38.505234;30.762640;49.808479
38.503681;30.760395;49.803604
38.500324;30.754265;49.791172
38.497486;30.749092;49.783443
38.493221;30.747719;49.784027
38.487144;30.747969;49.786507
38.483833;30.747738;49.785271
38.486073;30.749134;49.782261
38.492802;30.753792;49.782581
38.501476;30.758863;49.787224
38.506866;30.760740;49.792164
38.505512;30.759472;49.793571
38.501053;30.757992;49.792000
38.499252;30.758736;49.791080
38.501156;30.762165;49.793877
38.504169;30.767130;49.800205
38.507145;30.771891;49.806149
38.509392;30.773855;49.807411
38.507618;30.770950;49.803600
38.501225;30.766895;49.800121
38.495995;30.767332;49.802452
38.496208;30.770720;49.809429
38.500088;30.773108;49.815777
38.505646;30.775661;49.819550
38.511013;30.779533;49.822269
38.513622;30.782757;49.825726
38.514744;30.785700;49.831955
38.517059;30.790096;49.840954
38.517448;30.792936;49.847290
38.513130;30.790316;49.846489
38.508617;30.785236;49.842518
38.507988;30.783964;49.842552
38.509609;30.786783;49.848637
38.511311;30.788599;49.856560
38.514061;30.788301;49.863232
38.518990;30.788977;49.869980
38.522659;30.790886;49.876839
38.521687;30.792908;49.882328
38.519192;30.795784;49.887218
38.520061;30.799685;49.891846
38.523636;30.803637;49.895077
38.526344;30.806446;49.896656
38.527576;30.808723;49.898975
38.529640;30.813211;49.904602
38.532375;30.820192;49.911919
38.534813;30.826880;49.916492
38.540493;30.832014;49.917595
38.549557;30.835613;49.917171
38.556030;30.838036;49.915733
38.558353;30.841137;49.914364
38.559036;30.845573;49.914635
38.558228;30.849821;49.916115
38.558182;30.854450;49.918438
38.563137;30.861868;49.922886
38.573189;30.871260;49.929817
38.584763;30.879650;49.937153
38.593258;30.886395;49.941917
38.596573;30.891584;49.942856
38.596703;30.894100;49.940979
38.596134;30.893663;49.937138
38.594006;30.890821;49.930065
38.588554;30.885391;49.918892
38.580940;30.877768;49.905327
38.574837;30.870029;49.892002
38.571346;30.863789;49.881451
38.567913;30.859158;49.875828
38.563969;30.856098;49.873856
38.560879;30.853489;49.871136
38.557217;30.849871;49.865593
38.551315;30.845068;49.858753
38.545494;30.839504;49.852673
38.544235;30.835279;49.849762
38.547588;30.834244;49.851032
38.548843;30.834414;49.853394
38.543850;30.833532;49.853722
38.537701;30.832985;49.853848
38.536201;30.835617;49.857330
38.537735;30.840902;49.864140
38.539650;30.845867;49.871933
38.542957;30.849537;49.878544
38.546146;30.851702;49.881413
38.546635;30.851498;49.881004
38.546856;30.849667;49.881989
38.548683;30.847750;49.885609
38.549271;30.846483;49.889423
38.546429;30.846004;49.892891
38.541420;30.845076;49.894550
38.536461;30.842693;49.891506
38.534817;30.840511;49.886013
38.538937;30.839983;49.882896
38.546341;30.839804;49.882317
38.551201;30.838709;49.882149
38.549541;30.837313;49.881386
38.542072;30.835569;49.879040
38.534313;30.832409;49.875275
38.530460;30.828346;49.871151
38.529053;30.824736;49.866295
38.527668;30.820530;49.860577
38.525997;30.813702;49.854614
38.523846;30.805864;49.847866
38.520859;30.800861;49.840496
38.517941;30.799156;49.834934
38.517635;30.798967;49.833038
38.520203;30.801157;49.834312
38.522732;30.806414;49.837502
38.523823;30.811087;49.840393
38.522423;30.810986;49.839790
38.516792;30.805391;49.833832
38.509861;30.797497;49.825157
38.505699;30.791588;49.818394
38.502842;30.787846;49.814194
38.501312;30.785116;49.811668
38.504608;30.785416;49.812119
38.509125;30.787523;49.813278
38.508289;30.786316;49.811150
38.504894;30.782059;49.807976
38.503750;30.779755;49.807327
38.502609;30.781103;49.807934
38.500595;30.783953;49.808487
38.500427;30.786350;49.809555
38.502392;30.789034;49.810776
38.507927;30.795322;49.814007
38.519653;30.807297;49.823296
38.533772;30.822758;49.838017
38.544998;30.838066;49.853088
38.553856;30.851450;49.865402
38.562153;30.861944;49.874695
38.569473;30.869179;49.880798
38.579124;30.877390;49.886459
38.597980;30.895229;49.900684
38.625000;30.925085;49.929306
38.649811;30.957449;49.965347
38.664070;30.980810;49.995804
38.666073;30.990917;50.012562
38.658745;30.988800;50.014526
38.646690;30.976135;50.004169
38.632481;30.956015;49.985649
38.617607;30.933550;49.964378
38.603519;30.910698;49.943058
38.588657;30.884678;49.919579
38.569004;30.854162;49.890911
38.544079;30.822603;49.858765
38.520153;30.795750;49.829716
38.502430;30.776453;49.808250
38.489964;30.763506;49.793087
38.481499;30.755323;49.781864
38.477863;30.750916;49.774776
38.478798;30.748829;49.772865
38.482353;30.748770;49.776684
38.485706;30.751780;49.784363
38.484943;30.755701;49.788593
38.479958;30.756361;49.783642
38.478020;30.756111;49.777168
38.483078;30.760452;49.781315
38.487617;30.765730;49.792435
38.484695;30.763977;49.795750
38.479774;30.760014;49.788025
38.482704;30.769318;49.780823
38.491520;30.797241;49.779621
38.493324;30.834412;49.777363
38.487366;30.877020;49.780239
38.497227;30.938749;49.831890
38.551620;31.036564;49.999214
38.660679;31.170530;50.323048
38.816086;31.320341;50.780025
38.999603;31.459036;51.287918
39.162655;31.548323;51.705059
39.222664;31.524982;51.844982
39.143742;31.359045;51.609715
38.987206;31.118887;51.106277
38.829453;30.903952;50.549397
38.697403;30.757444;50.103916
38.605118;30.687838;49.845661
38.564747;30.691753;49.769154
38.556679;30.735058;49.797054
38.546650;30.770115;49.833420
38.524857;30.776667;49.832352
38.504990;30.768328;49.810360
38.497044;30.764660;49.798977
38.495243;30.768105;49.803268
38.490128;30.770384;49.806683
38.482388;30.768354;49.799385
38.479359;30.765005;49.788849
38.483391;30.763807;49.785934
38.488445;30.765362;49.791271
38.487652;30.766476;49.796879
38.482788;30.766111;49.797298
38.481335;30.768915;49.796001
38.484951;30.776321;49.797955
38.488575;30.781298;49.801056
38.489719;30.779490;49.801994
38.489758;30.776411;49.801823
38.488419;30.777388;49.801266
38.484943;30.779818;49.800179
38.481884;30.780197;49.799702
38.482479;30.780266;49.800083
38.487598;30.782394;49.802048
38.493397;30.784225;49.805725
38.493176;30.782743;49.807907
38.487034;30.780653;49.807533
38.481991;30.782211;49.807777
38.480209;30.786026;49.809753
38.478634;30.788155;49.811504
38.477726;30.787617;49.812626
38.479576;30.785095;49.814369
38.481941;30.781355;49.816978
38.481930;30.777510;49.819660
38.479973;30.774509;49.821224
38.478615;30.774788;49.822208
38.479668;30.780533;49.826550
38.483105;30.788502;49.836334
38.488506;30.793320;49.848145
38.494541;30.794641;49.857372
38.498558;30.795443;49.863785
38.499805;30.797522;49.870014
38.499527;30.800524;49.876442
38.499447;30.803947;49.881706
38.501709;30.808464;49.887100
38.506927;30.813576;49.894264
38.513260;30.817505;49.901958
38.518044;30.820679;49.908150
38.519550;30.824533;49.913109
38.519814;30.828218;49.917694
38.521713;30.830767;49.920738
38.523727;30.832874;49.921009
38.524593;30.835262;49.919224
38.526875;30.838348;49.917679
38.530342;30.842352;49.918076
38.531792;30.846411;49.919155
38.532001;30.849710;49.918064
38.533672;30.853069;49.915848
38.536518;30.857239;49.915413
38.538784;30.861620;49.916332
38.540993;30.865049;49.916286
38.544949;30.867064;49.914688
38.549068;30.869183;49.913280
38.549747;30.873007;49.913319
38.548260;30.878056;49.913666
38.548271;30.883009;49.913784
38.549480;30.887375;49.913723
38.550751;30.890289;49.910717
38.552071;30.889511;49.901733
38.550774;30.883947;49.887932
38.545494;30.875383;49.873226
38.540188;30.866909;49.861385
38.537323;30.861385;49.853977
38.535366;30.859024;49.849255
38.533928;30.856895;49.844952
38.532448;30.853418;49.840897
38.528545;30.849287;49.838070
38.523460;30.843988;49.836716
38.521248;30.837652;49.836426
38.522568;30.833956;49.837425
38.526016;30.835302;49.840233
38.529102;30.838808;49.844715
38.529957;30.841810;49.851089
38.531574;30.846142;49.860977
38.536053;30.852173;49.872875
38.539223;30.856236;49.881813
38.539612;30.858149;49.886871
38.540073;30.860514;49.890640
38.540081;30.862797;49.894257
38.539539;30.864954;49.900112
38.542027;30.868845;49.909462
38.547405;30.872234;49.917336
38.551582;30.870609;49.919247
38.551891;30.865093;49.916790
38.548878;30.861032;49.913078
38.546982;30.860506;49.910225
38.548698;30.861282;49.909607
38.550579;30.861307;49.910183
38.550179;30.860113;49.909054
38.547981;30.857056;49.904831
38.544399;30.852514;49.899395
38.541710;30.849928;49.895428
38.542873;30.850986;49.894047
38.547031;30.852251;49.893745
38.549088;30.849796;49.891392
38.544117;30.843348;49.884777
38.533562;30.835783;49.874729
38.523865;30.830334;49.864010
38.518723;30.826805;49.855858
38.518387;30.823496;49.852177
38.522186;30.820816;49.852028
38.527626;30.818884;49.852386
38.529892;30.816607;49.851082
38.527161;30.814846;49.848644
38.523521;30.814995;49.846592
38.522079;30.815605;49.845306
38.521759;30.814863;49.844555
38.522114;30.813644;49.843754
38.524174;30.812101;49.841202
38.527580;30.809792;49.837143
38.530811;30.808729;49.835159
38.531101;30.809095;49.836613
38.526184;30.807989;49.838139
38.518913;30.806374;49.837288
38.514690;30.806919;49.835392
38.514450;30.807632;49.833260
38.515896;30.806009;49.829880
38.517899;30.803642;49.826786
38.520195;30.803179;49.827240
38.521698;30.804714;49.830307
38.521187;30.806137;49.831345
38.519745;30.805460;49.828743
38.520187;30.803019;49.825542
38.521564;30.800251;49.823643
38.519543;30.796873;49.821354
38.515450;30.793592;49.818508
38.513535;30.793644;49.817509
38.513134;30.797779;49.819382
38.513931;30.803761;49.823280
38.518482;30.810204;49.828274
38.527199;30.817856;49.835384
38.539455;30.829464;49.846569
38.554642;30.845720;49.860386
38.570320;30.863037;49.873909
38.583126;30.878626;49.886124
38.592369;30.893541;49.897785
38.603317;30.910814;49.913254
38.621658;30.932875;49.937256
38.643120;30.957415;49.966030
38.658363;30.976927;49.989868
38.663971;30.984137;50.001907
38.660648;30.976315;49.999184
38.648033;30.956856;49.982620
38.629051;30.934044;49.959244
38.610039;30.914515;49.937656
38.592869;30.897766;49.920151
38.575375;30.879633;49.902691
38.557114;30.856985;49.880947
38.538719;30.829372;49.854885
38.521702;30.802000;49.829159
38.509163;30.783590;49.809143
38.500996;30.776550;49.796249
38.492783;30.773394;49.787746
38.484062;30.766249;49.780567
38.480824;30.757120;49.775391
38.484928;30.753654;49.774166
38.488941;30.756832;49.774677
38.486023;30.759901;49.773434
38.478607;30.758207;49.771351
38.474083;30.755342;49.772247
38.474121;30.757240;49.776760
38.475113;30.762522;49.781242
38.477364;30.765869;49.783241
38.485451;30.771048;49.784046
38.496914;30.787531;49.782875
38.498089;30.813896;49.773418
38.482136;30.843758;49.757523
38.467255;30.886110;49.763290
38.484665;30.958780;49.840034
38.554379;31.068981;50.040981
38.682560;31.208921;50.407589
38.861504;31.357473;50.918564
39.054966;31.484123;51.447594
39.198437;31.550303;51.819794
39.230129;31.506529;51.894417
39.139549;31.333836;51.624352
38.982239;31.095533;51.108410
38.820099;30.883253;50.540691
38.680977;30.739820;50.089432
38.586376;30.675100;49.837658
38.547848;30.682524;49.767841
38.542118;30.725882;49.790318
38.537979;30.763107;49.822556
38.526409;30.777735;49.832161
38.514851;30.778233;49.823833
38.509483;30.778673;49.813274
38.506584;30.782494;49.808472
38.499966;30.783743;49.806587
38.492104;30.780506;49.803253
38.490547;30.780005;49.799725
38.495346;30.786625;49.799641
38.497890;30.793432;49.802700
38.495453;30.793245;49.805199
38.494637;30.788633;49.804718
38.497032;30.785387;49.801926
38.497341;30.785065;49.799915
38.494324;30.786627;49.802032
38.491844;30.789030;49.807487
38.492382;30.791103;49.811077
38.494213;30.791664;49.809689
38.494831;30.791161;49.806625
38.496071;30.791582;49.806503
38.498943;30.793427;49.809036
38.499924;30.795021;49.811638
38.498577;30.796389;49.814342
38.497768;30.798792;49.817558
38.497311;30.802017;49.820637
38.496696;30.805494;49.824127
38.498688;30.808594;49.828426
38.504234;30.810030;49.832634
38.509922;30.809870;49.836235
